ID,Copper (Cu),Oxygen (O),Potassium (K),Iron (Fe),Sulphur (S),Maganese (M),Calcium (Ca),Boron (B),Magnesium (Mg),Chlorine (Cl),Molybdenum (Mo),Cobalt (Co),Crops
1,0.0018406275271037886,0.8464801225145852,0.7924258076151377,0.9539641403424034,0.14400869311247255,0.05755732883089393,0.9426120658136055,0.35853884556297244,0.6607135802208375,0.15456080740948375,0.18461700398914882,0.17270613141755098,Tobacco
2,0.5045456658736792,0.5193608648470852,0.864398811075658,0.3531217348323399,0.5510783304024629,0.3175678292832492,0.44282076353802524,0.4895262450990334,0.4122524459112268,0.4690954006930491,0.3586234103230971,0.40599171227204267,Beans & Mutter(Vegetable)
3,0.6608619522593834,0.11832034324519503,0.058324757948275185,0.35442098047732873,0.42268518761054563,0.3814032063381638,0.8368885732982212,0.10280745048214213,0.6242897459739373,0.4228798063990229,0.6682803150307177,0.7857803551962104,Coriander
4,0.3644633916447696,0.5719467206045821,0.4661406530767498,0.08957609113697051,0.5043992770281589,0.0859526153392951,0.6812790860129763,0.9021099551082449,0.4089235791064155,0.44193782220664024,0.64094135967791,0.4673156910509847,Bajra
5,0.49136827978821696,0.623866024866581,0.7781539480245485,0.3603374461155664,0.16350729768905936,0.4086525457312955,0.7986472022041489,0.8354779151151726,0.6701032637388882,0.7040999972285182,0.7542021930623783,0.35669427427190403,Jack Fruit
6,0.5803898915443105,0.6711971902949612,0.5402674630640181,0.09483043273394398,0.8448690765104189,0.2758496138232861,0.27516268698694835,0.14717981136434255,0.1548215807469453,0.9688256553475222,0.9949109533435234,0.2283641354368624,Other Fresh Fruits
7,0.35474803740327443,0.7533587389218109,0.7860539307777914,0.6648299271256963,0.7247038600229196,0.04560089232669906,0.6302321064826247,0.24154750223273602,0.9650496142631763,0.7109188310589246,0.701200792160358,0.45123586335626387,Blackgram
8,0.0563046642792151,0.6988068834141746,0.3945178022105521,0.04122953978269983,0.547159270038388,0.23026492647533525,0.8518678057231809,0.7384956770382496,0.02601021972437534,0.13102727157582394,0.33985303136065714,0.4718194169633114,Pome Fruit
9,0.26647094309094455,0.5442558314945383,0.07428934899680428,0.489480055218818,0.43174152704829327,0.3414121804160406,0.7335826779762296,0.42615788000874,0.9329142685055253,0.5302328246009926,0.26607627651830357,0.5022947462386818,Dry ginger
10,0.21475733463090763,0.060662919732965004,0.17571856501454974,0.8982700982220625,0.5007233996273491,0.8735780212910944,0.260967238996624,0.007251816677462997,0.799517086143745,0.2932367872415157,0.657988585418812,0.7909523901815753,Oilseeds total
11,0.4880276131159247,0.1589092895492994,7.070742153018061E-4,0.7631098928740541,0.8002024163878445,0.10328853867344912,0.4187535695996131,0.6107025752224445,0.8554501487982361,0.3290310548500097,0.4785119585849016,0.5991085161986514,Maize
12,0.9491407987566202,0.7509964532404185,0.6988571031570503,0.25952576920803716,0.9737554252718098,0.10415203380392457,0.9335268074891814,0.217139800983019,0.6924089981548706,0.8702297856793194,0.3722510635781784,0.6835665122973661,Cashewnut
13,0.5408844098302871,0.5023101918235795,0.4898358851590915,0.8237739943880749,0.3504983665966871,0.7253700510656771,0.5211381412592981,0.9925040788365938,0.6053069587659514,0.41331091778745366,0.9384989434072979,0.2703273238692364,Snak Guard
14,0.558223285691607,0.8548582146505064,0.8784942708654967,0.126799122908144,0.5560294887333468,0.12439708403057337,0.022063790366430913,0.3096944505013307,0.0743234639072643,0.5729017584316523,0.7474491774361335,0.09486560102778763,Safflower
15,0.8221494226035739,0.8680540791002469,0.6612939632598333,0.8651046676052123,0.8427456353842626,0.21376530853952402,0.9264139347593257,0.6519243871704637,0.5075389639015935,0.4180789617876247,0.6743359935962362,0.16905956232241615,Cashewnut Processed
16,0.8208927271191664,0.9349977359671412,0.06436608631804508,0.07561141624945555,0.8355059613137057,0.4767000283284274,0.6438770149677375,0.8536387075072296,0.3051262752534851,0.33405615228965546,0.7934018815666164,0.4335905364227852,Pear
17,0.009201306361875994,0.13986147379859337,0.7318180973500333,0.05306103936020745,0.3561814383861793,0.8843958947918497,0.863141962965025,0.7261797259904271,0.18675900498108045,0.21291532298642202,0.6967184197055556,0.3034939903999504,Potato
18,0.5696473059175525,0.2965161584043414,0.11300900042707895,0.1423889356818583,0.3653655470451792,0.7890359950091794,0.8945522635666354,0.7298166406735216,0.8843694990790228,0.9011022617715965,0.9513576715790897,0.26105235816187755,Sesamum
19,0.2669995513672482,0.6068301102995628,0.7306982539745117,0.3366853869846562,0.6169235985633981,0.36386004061128885,0.9603920181726364,0.34600496392420377,0.12766091682342828,0.40331512866579167,0.5166198762975213,0.7449200494469999,Varagu
20,0.7038440969731702,0.42538642925442527,0.7838546901136434,0.14167463298463745,0.1168854547703706,0.508112716957794,0.6054720940006355,0.30735337621570835,0.18878197230648996,0.7539541522579898,0.4094846563873088,0.17109748488236387,Grapes
21,0.390800290587222,0.6045447032147311,0.8444516173804911,0.6512331412938922,0.2205387573983003,0.22397957070597885,0.7897392734960317,0.8904756880634959,0.34373575180113447,0.13701800758564275,0.17584923035057165,0.08306156968100753,Pineapple
22,0.7482873123521139,0.4755963548054608,0.18479494006784325,0.040016956053893216,0.9457435921552135,0.13732869533322134,0.8987079240228002,0.8617856774063979,0.030830277153705787,0.8948985639939199,0.6852881380983025,0.25171071560230307,Masoor
23,0.16781011396979284,0.09329831905809516,0.3825847590408544,0.289210790892951,0.04730150315423609,0.606408647892039,0.1411173506921124,0.9381899775576152,0.564315200590461,0.7213707694171227,0.8992111570302801,0.42429224282364353,Samai
24,0.9002200296685439,0.5704067143139738,0.8026612827633616,0.8461230058855114,0.37200033727827264,0.6440312160807329,0.8949367157779685,0.5225784533752064,0.49876374950792657,0.011657200426069547,0.7389316600042223,0.12264876461241514,Oilseeds total
